Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,Motor- E156RF,,AOS_E156RF,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,,,Motor- E156RF,,,True,A.O. Smith E156RF,None,5,deny,,Motor- E156RF None,,318.28,,E156RF,manual
,,,,Part Number,Motor- P137,,AOS_P137,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,,,Motor- P137,,,True,A.O. Smith P137,None,5,deny,,Motor- P137 None,,561.76,,P137,manual
,,,,Part Number,Motor- P132,,AOS_P132,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,,,Motor- P132,,,True,A.O. Smith P132,None,5,deny,,Motor- P132 None,,799.22,,P132,manual
,,,,Part Number,Motor- P133,,AOS_P133,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,,,Motor- P133,,,True,A.O. Smith P133,None,5,deny,,Motor- P133 None,,1063.01,,P133,manual
https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_P130.jpg,,,,Part Number,"DMH/DHH, 3 HP, 1 PHASE, 230V, 182JM FRAME, 17.0 AMPS- P130",,AOS_P130,,shopify,,,Accessories,,P130,A.O. Smith,,"no-cat,has-image",,,,,,,,True,,,,"DMH/DHH, 3 HP, 1 PHASE, 230V, 182JM FRAME, 17.0 AMPS- P130",,,True,A.O. Smith P130,None,0,deny,,"DMH/DHH, 3 HP, 1 PHASE, 230V, 182JM FRAME, 17.0 AMPS- P130 DMH/DHH, 3 HP, 1 PHASE, 230V, 182JM FRAME, 17.0 AMPS",,None,,P130,manual
,,,,Part Number,- CT1052,,AOS_CT1052,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,- CT1052,,,True,A.O. Smith CT1052,786674017246,5,deny,,- CT1052 None,,236.86,,CT1052,manual
https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_BG854A.jpg,,,,Part Number,Motor- BG854A,,AOS_BG854A,,shopify,,,Pumps,,BG854A,A.O. Smith,,"motor,residential,part,pool,has-image",,,,,,,,True,,None,,Motor- BG854A,,,True,A.O. Smith BG854A,786674013873,5,deny,,"Motor- BG854A 1 1/2 HP, 1.10 SF, 16.0/8.0 AMPS, 115/230V",,273.3,,BG854A,manual
,,,,Part Number,- USN1302,,AOS_USN1302,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,- USN1302,,,True,A.O. Smith USN1302,786674033215,5,deny,,- USN1302 None,,567.04,,USN1302,manual
,,,,Part Number,Motor- ST1072,,AOS_ST1072,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,None,,Motor- ST1072,,,True,A.O. Smith ST1072,786674031778,5,deny,,Motor- ST1072 None,,199.0,,ST1072,manual
https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_SQS1152R.jpg,,,,Part Number,"1-1/2 HP HIGH, 1/4 HP LOW, 1.47 SF, 10.1/3.7 AMPS HI/LOW, 230V- SQS1152R",,AOS_SQS1152R,,shopify,,,Pumps,,SQS1152R,A.O. Smith,,"pumps,residential,part,pool,has-image",,,,,,,,True,,None,,"1-1/2 HP HIGH, 1/4 HP LOW, 1.47 SF, 10.1/3.7 AMPS HI/LOW, 230V- SQS1152R",,,True,A.O. Smith SQS1152R,788674031246,5,deny,,"1-1/2 HP HIGH, 1/4 HP LOW, 1.47 SF, 10.1/3.7 AMPS HI/LOW, 230V- SQS1152R 1-1/2 HP HIGH, 1/4 HP LOW, 1.47 SF, 10.1/3.7 AMPS HI/LOW, 230V",,449.72,,SQS1152R,manual
