Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,"11507010 - 3/4 HP 208-230/460 1-1/2"" Suction",,VAL_11507010,,shopify,,,Pumps,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,"11507010 - 3/4 HP 208-230/460 1-1/2"" Suction",,,True,Val-Pak 11507010,811636026261,5,deny,,"11507010 - 3/4 HP 208-230/460 1-1/2"" Suction None",,856.73,,11507010,manual
,,,,Part Number,V20-365S - 2000 Series Red Line Tank O-Ring ,,VAL_V20-365S,,shopify,,,Miscellaneous,,,Val-Pak,,"val-pak,residential,o-ring,part,pool access,pool,val-pak,no-image",,,,,,,,True,,None,,V20-365S - 2000 Series Red Line Tank O-Ring ,,,True,Val-Pak V20-365S,811636020665,5,deny,,V20-365S - 2000 Series Red Line Tank O-Ring  None,,23.24,,V20-365S,manual
,,,,Part Number,"V20-338S - Handle Screw 8-32 x 3/8"" S.S.",,VAL_V20-338S,,shopify,,,Miscellaneous,,,Val-Pak,,"val-pak,residential,part,pool access,pool,val-pak,no-image",,,,,,,,True,,None,,"V20-338S - Handle Screw 8-32 x 3/8"" S.S.",,,True,Val-Pak V20-338S,811636020542,5,deny,,"V20-338S - Handle Screw 8-32 x 3/8"" S.S. None",,2.35,,V20-338S,manual
,,,,Part Number,"V30-502 - 1/4""-20 Brass Nut 25/Bag",,VAL_V30-502,,shopify,,,Miscellaneous,,,Val-Pak,,"val-pak,residential,part,pool access,pool,val-pak,no-image",,,,,,,,True,,None,,"V30-502 - 1/4""-20 Brass Nut 25/Bag",,,True,Val-Pak V30-502,,5,deny,,"V30-502 - 1/4""-20 Brass Nut 25/Bag None",,4.07,,V30-502,manual
,,,,Part Number,"V40-509 - 2 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction",,VAL_V40-509,,shopify,,,Motors,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,"V40-509 - 2 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction",,,True,Val-Pak V40-509,811636023598,5,deny,,"V40-509 - 2 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction None",,1177.12,,V40-509,manual
,,,,Part Number,"V40-508 - 1.5 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction ",,VAL_V40-508,,shopify,,,Motors,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,"V40-508 - 1.5 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction ",,,True,Val-Pak V40-508,811636023574,5,deny,,"V40-508 - 1.5 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction  None",,1084.75,,V40-508,manual
,,,,Part Number,"V40-507 - 1.0 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction",,VAL_V40-507,,shopify,,,Motors,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,"V40-507 - 1.0 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction",,,True,Val-Pak V40-507,811636023543,5,deny,,"V40-507 - 1.0 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction None",,1005.21,,V40-507,manual
,,,,Part Number,"V40-506 - 3/4 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction",,VAL_V40-506,,shopify,,,Motors,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,"V40-506 - 3/4 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction",,,True,Val-Pak V40-506,811636025905,5,deny,,"V40-506 - 3/4 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction None",,989.82,,V40-506,manual
http://val-pakproducts.com/vpk/uploads/purex-impeller-three-quarter-hp-ah3-V20-107-510x600.jpg,,,,Part Number,V20-107 - 3/4 HP Impeller AH-3,,VAL_V20-107,,shopify,,,Pumps,,V20-107,Val-Pak,,"val-pak,residential,purex,part,pool,val-pak,has-image",,,,,,,,True,,None,,V20-107 - 3/4 HP Impeller AH-3,,,True,Val-Pak V20-107,811636027183,5,deny,,V20-107 - 3/4 HP Impeller AH-3 None,,146.51,,V20-107,manual
,,,,Part Number,"V40-504 - 1/3 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction",,VAL_V40-504,,shopify,,,Motors,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,"V40-504 - 1/3 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction",,,True,Val-Pak V40-504,811636023512,5,deny,,"V40-504 - 1/3 HP Pump & Motor 60 Hz 5"" Trap 2"" Suction None",,971.87,,V40-504,manual
