Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,- 956-9A,,ALA_956-9A,,shopify,,,Maintenance,,,Aladdin,,"maintenance,residential,part,pool,no-image",,,,,,,,True,,None,,- 956-9A,,,True,Aladdin 956-9A,601402119439,5,deny,,- 956-9A None,,13.38,,956-9A,manual
,,,,Part Number,GASKET PACKAGED- G-9PK,,ALA_G-9PK,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,GASKET PACKAGED- G-9PK,,,True,Aladdin G-9PK,None,5,deny,,GASKET PACKAGED- G-9PK None,,1.89,,G-9PK,manual
,,,,Part Number,- GO-KIT55,,SUP_GO-KIT55,,shopify,,,Maintenance,,,SUPER-PRO,,"pool,maintenance,residential,part,no-image",,,,,,,,True,,None,,- GO-KIT55,,,True,SUPER-PRO GO-KIT55,601402262739,5,deny,,- GO-KIT55 None,,16.78,,GO-KIT55,manual
,,,,Part Number,- GO-KIT10-9,,ALA_GO-KIT10-9,,shopify,,,Maintenance,,,Aladdin,,"pool,maintenance,residential,part,no-image",,,,,,,,True,,None,,- GO-KIT10-9,,,True,Aladdin GO-KIT10-9,,5,deny,,- GO-KIT10-9 None,,19.09,,GO-KIT10-9,manual
,,,,Part Number,O-RING PACKAGED- O-300PK,,ALA_O-300PK,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,O-RING PACKAGED- O-300PK,,,True,Aladdin O-300PK,None,5,deny,,O-RING PACKAGED- O-300PK None,,2.38,,O-300PK,manual
,,,,Part Number,- O-189-9,,SUP_O-189-9,,shopify,,,Maintenance,,,SUPER-PRO,,"pool,maintenance,residential,part,no-image",,,,,,,,True,,None,,- O-189-9,,,True,SUPER-PRO O-189-9,601402114212,5,deny,,- O-189-9 None,,2.25,,O-189-9,manual
,,,,Part Number,- RO-KIT222,,ALA_RO-KIT222,,shopify,,,Maintenance,,,Aladdin,,"pool,maintenance,residential,part,no-image",,,,,,,,True,,None,,- RO-KIT222,,,True,Aladdin RO-KIT222,601402113390,5,deny,,- RO-KIT222 None,,16.9,,RO-KIT222,manual
,,,,Part Number,Hayward Micro StarClear In-Line- RO-KIT223,,ALA_RO-KIT223,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,Hayward Micro StarClear In-Line- RO-KIT223,,,True,Aladdin RO-KIT223,None,5,deny,,Hayward Micro StarClear In-Line- RO-KIT223 None,,9.93,,RO-KIT223,manual
,,,,Part Number,- RO-KIT220,,ALA_RO-KIT220,,shopify,,,Maintenance,,,Aladdin,,"pool,maintenance,residential,part,no-image",,,,,,,,True,,None,,- RO-KIT220,,,True,Aladdin RO-KIT220,601402113116,5,deny,,- RO-KIT220 None,,20.83,,RO-KIT220,manual
,,,,Part Number,- RO-KIT221,,ALA_RO-KIT221,,shopify,,,Maintenance,,,Aladdin,,"pool,maintenance,residential,part,no-image",,,,,,,,True,,None,,- RO-KIT221,,,True,Aladdin RO-KIT221,601402113123,5,deny,,- RO-KIT221 None,,15.82,,RO-KIT221,manual
,,,,Part Number,O-RING BULK- O-299,,ALA_O-299,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,O-RING BULK- O-299,,,True,Aladdin O-299,None,5,deny,,O-RING BULK- O-299 None,,2.67,,O-299,manual
,,,,Part Number,O-RING PACKAGED- O-361PK,,ALA_O-361PK,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,O-RING PACKAGED- O-361PK,,,True,Aladdin O-361PK,None,5,deny,,O-RING PACKAGED- O-361PK None,,2.13,,O-361PK,manual
