category,type,part_number,title,price,upc,weight,length,width,height,primary_site,manufacturer
Whole Good,Automation,522101,KIT SOLAR TEMP ,12.25,,0.5,10,8,2,W,Pentair
Whole Good,Automation,522104,SCREENLOGIC BUNDLE ,333.25,788379860295,3,9.5,15.5,4.5,W,Pentair
Whole Good,Automation,522184Z,KIT PCBA ICHEM MTR PRTCR ,20.74,788379867584,0.25,3,3,4,W,Pentair
Whole Good,Automation,522352,EASYTOUCH PL4 CONTROL SYSTEM,413.57,788379866518,40,24,20,8,W,Pentair
Whole Good,Automation,522353,EASYTOUCH PL4 CONTROL SYSTEM W/SL,631.8,788379866525,50,42,20,8,W,Pentair
Whole Good,Automation,522354,EASYTOUCH PSL4 CONTROL SYSTEM,489.95,788379866532,50,42,20,8,W,Pentair
Whole Good,Automation,522355,EASYTOUCH PSL4 CONTROL SYSTEM W/SL,708.19,788379866549,50,42,20,8,W,Pentair
Whole Good,Automation,522389,INTELLICHLOR CLR RPLCMNT,11.62,,1,8,5,3,W,Pentair
Whole Good,Automation,522464,EASYTOUCH PL4/PSL4 WIRELESS CONTROL PANEL,304.45,788379866556,3,9,9.5,4.5,W,Pentair
Whole Good,Automation,522465,EASYTOUCH PL4/PSL4 INDOOR CONTROL PANEL,108.03,788379866563,3,12,12,6,W,Pentair
Whole Good,Automation,LX802,COMMERCIAL CONTROL SYSTEM,681.21,788379653620,12,N/A,N/A,N/A,w,Pentair
Whole Good,Automation,LX802L,COMMERCIAL CONTROL SYSTEM,748,788379653637,20,25,15,12,w,Pentair
Whole Good,Automation,LX820,LX820 POWER CNTR ,317.32,788379653651,0.01,10,10,6,W,Pentair
Whole Good,Automation,LX8202,EMERGENCY SHUTOFF SYSTEM ,342.32,788379653668,7,N/A,N/A,N/A,w,Pentair
Part,Automation,263042Z,"KIT VLV CHK 2WAY 2""CPVC STRT RPLCMNT",29.34,788379786939,1.4,4.5,4.5,3,W,Pentair
Part,Automation,270021,PIN STOP VLV HNDL ,0.8,788379692650,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,270028,HNDL 2WAY/3WAY VLV ,6.29,788379674618,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,270030,CVR CPVC 2WAY/3WAY VLV ,6.7,788379692599,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,270032,KNOB VLV ,6.37,788379692605,0.01,N/A,N/A,N/A,W,Pentair
