Part/WG,Category,part_number,title,price,upc,weight,length,width,height,Primary Site,,
Whole Good,Pumps,014804,CHKL-150 MTR ASY 15HP 3PH HIGH HEAD 50 CYCLE," 3,626.31 ",788379664022,N/A,N/A,N/A,N/A,E,,
Whole Good,Pumps,014805,CHKL-200 MTR ASY 20HP 3PH HIGH HEAD 50 CYCLE," 5,175.79 ",788379664039,N/A,N/A,N/A,N/A,E,,
Whole Good,Pumps,014880,PMP CHKL 50 W/POT ," 3,941.39 ",788379664046,336.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,014881,PMP CHKL 75 W/POT ," 4,034.52 ",788379664053,346.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,014882,PMP CHKL 100 W/POT ," 4,514.99 ",788379664060,374.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,014883,PMP CHKL 150 W/POT ," 4,791.10 ",788379664077,396.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,014884,PMP CHKL 200 W/POT ," 5,793.15 ",788379664084,403.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,014900,PMP CMKL 50 W/POT ," 3,941.39 ",788379664091,336.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,014901,PMP CMKL 75 W/POT ," 4,034.52 ",788379664107,346.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,014902,PMP CMKL 100 W/POT ," 4,514.99 ",788379664114,376.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,014903,PMP CMKL 150 W/POT ," 4,791.10 ",788379664121,398.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,016903,PMP CMKL 150 WO POT ," 4,011.68 ",788379664213,348.0,20.00,45.00,22.00,E,,
Whole Good,Pumps,022005,PMP INT VS INTLFLO XF VARIABLE SPEED, 940.77 ,788379853198,56.00,27.00,13.00,16.00,E,,
Whole Good,Pumps,022007,PMP XFDS-8 208-230V 2HP 2SP FULL RATED WF, 675.57 ,788379851804,55.00,27.00,13.00,16.00,E,,
Whole Good,Pumps,022008,PMP XFDS-12 230V 3HP 2SP FULL RATED, 781.65 ,788379851811,66.00,27.00,13.00,16.00,E,,
Whole Good,Pumps,022009,PMP XFE-8 208-230V 2HP EE FULL RATED, 558.32 ,788379851798,55.00,27.00,13.00,16.00,E,,
Whole Good,Pumps,022010,PMP XFE-12 208-230V 3HP EE FULL RATED, 761.28 ,788379805791,60.00,28.50,14.50,18.00,E,,
Whole Good,Pumps,022011,PMP XFE-20 208-230V 5HP EE FULL RATED," 1,327.69 ",788379852153,72.00,30.00,13.00,17.00,E,,
Whole Good,Pumps,022012,PMP XF-8 208-230V 2HP STD EFFICIENCY FULL RATE, 538.22 ,788379851781,55.00,27.00,13.00,16.00,E,,
