type,category,part_number,title,price,upc,weight,length,width,height,location,manufacturer
wholegood,White Goods,506308,"SKMR 2"" SLIP WHT FLT VLV PVC",92.69,7.88E+11,13,12,16,22,E,Pentair
wholegood,White Goods,506309,"SKMR 2"" THRD WHT FLT VLV PVC",92.69,7.88E+11,13,12,16,22,E,Pentair
wholegood,White Goods,506310,"SKMR 2"" SLIP TAN FLT VLV PVC",92.69,7.88E+11,14,N/A,N/A,N/A,E,Pentair
wholegood,White Goods,506361,"SKIM 2"" SLIP WHT ABS ",61.96,7.88E+11,11,12,16,22,E,Pentair
wholegood,White Goods,506362,"SKMR 2"" THRD WHT ABS ",61.96,7.88E+11,11,12,16,22,E,Pentair
wholegood,White Goods,506363,"SKMR 1.5"" SLIP WHT ABS ",61.96,7.88E+11,11,12,16,22,E,Pentair
wholegood,White Goods,506364,"SKMR 1.5"" THRD WHT ABS ",61.96,7.88E+11,11,12,16,22,E,Pentair
wholegood,White Goods,506365,"SKMR 2"" SLIP BLK ABS ",82.6,7.88E+11,11,12,16,22,E,Pentair
wholegood,White Goods,506370,"SKMR 2"" SLIP WHT FLT VLV EQU VLV NSF PVC",107.86,7.88E+11,13.5,12,16,22,E,Pentair
wholegood,White Goods,506380,"SKMR 2"" SLIP WHT FLT VLV EQU VLV NSF ABS",89.52,7.88E+11,11.5,12,16,22,E,Pentair
wholegood,White Goods,506381,"SKMR 2"" THRD WHT FLT VLV EQU VLV NSF ABS",89.52,7.88E+11,11.5,12,16,22,E,Pentair
wholegood,White Goods,506382,"SKMR 2"" SLIP TAN ABS ",61.96,7.88E+11,11.5,12,16,22,E,Pentair
wholegood,White Goods,506420,"SKMR VINYL 1.5"" SLIP WHT ABS",91.79,7.88E+11,15.5,12,16,22,E,Pentair
wholegood,White Goods,506421,"SKMR VINYL 1.5"" THRD WHT ABS",91.79,7.88E+11,15.5,12.5,20.5,23,E,Pentair
wholegood,White Goods,506480,"SKMR VINYL 1.5"" THRD BLK ABS",105.58,7.88E+11,15.5,12,16,22,E,Pentair
wholegood,White Goods,506520,"SKMR VINYL WM 1.5"" SLIP WHT ABS",103.27,7.88E+11,22,24,20.25,23,E,Pentair
wholegood,White Goods,506521,"SKMR VINYL WM 1.5"" THRD WHT ABS",103.27,7.88E+11,22,24,20.25,23,E,Pentair
wholegood,White Goods,506581,"SKMR WM 1.5"" THRD BLK ABS",117.04,7.88E+11,22,24,20.25,23,E,Pentair
wholegood,White Goods,510357,FRAME SEALNG WM HYWRD SP1085 50PK WHT,9.44,7.88E+11,0.85,N/A,N/A,N/A,R,Pentair
