manufacturer,part_number,title,category,type,uom,minimum_order_amount,status,upc,weight,height,length,width,available,discontinued
Zodiac,1218CSA,"Jandy Pro Series 18"" Sheer Arc, Clear 6"" Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,738919070882,6.5,4,19.5,11,TRUE,FALSE
Zodiac,1401CSR,Jandy Pro Series 1' Sheer Rain-Super Radius Clear ,WATER FEATURES,wholegood,1,1,Active,52337057561,6.9,4.2,18.1,16,TRUE,FALSE
Zodiac,1201CSR,Jandy Pro Series 1' Sheer Rain-Extended Lip Clear ,WATER FEATURES,wholegood,1,1,Active,52337056380,5,4.4,15.9,12,TRUE,FALSE
Zodiac,1001CBF,"Jandy Pro Series 1' Sheer Descent-Standard Lip Clear, Bottom Feed ",WATER FEATURES,wholegood,1,1,Active,52337056939,3,5.7,15.1,8,TRUE,FALSE
Zodiac,1201C,"Jandy Pro Series 1' Sheer Descent, Clear 6"" Extended Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,52337055932,4.8,4.4,14.6,12,TRUE,FALSE
Zodiac,1301CBF,"Jandy Pro Series 1' Sheer Descent, Clear 12"" Lip, Bottomfeed ",WATER FEATURES,wholegood,1,1,Active,52337055840,2.65,3.5,17,6,TRUE,FALSE
Zodiac,1401C,"Jandy Pro Series 1' Sheer Descent, Clear 12"" Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,52337056267,7.2,4.2,18.1,15,TRUE,FALSE
Zodiac,1101C,"Jandy Pro Series 1' Sheer Descent, Clear 1"" Standard Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,738919070790,2.9,4.4,16,7,TRUE,FALSE
Zodiac,1401CSC,Jandy Pro Series 1' Sheer Curtain-Super Radius Clear ,WATER FEATURES,wholegood,1,1,Active,52337057936,6.9,4.4,18.2,16,TRUE,FALSE
Zodiac,1201CSC,Jandy Pro Series 1' Sheer Curtain-Extended Lip Clear ,WATER FEATURES,wholegood,1,1,Active,52337056847,4.9,4.4,15.4,12,TRUE,FALSE
Zodiac,1201CSA,"Jandy Pro Series 1' Sheer Arc, Clear 6"" Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,738919071568,6.62,4,26,11,TRUE,FALSE
Zodiac,11-103-00,Zodiac Restricter Washer Waterstars/UWF ,WATER FEATURES,parts,1,1,Active,738919002753,0.02,0.13,7.37,4,TRUE,FALSE
Zodiac,V100,"Jandy Pro Series Vinyl pool MiniJet cap, screws white ",WATER FEATURES,parts,KIT,1,Active,738919023062,0.01,1.1,7,7,TRUE,FALSE
Zodiac,11-202-00,Jandy Pro Series UWF Connector Assembly ,WATER FEATURES,parts,KIT,1,Active,738919001886,0.24,0,0,0,TRUE,FALSE
Zodiac,7-295-00,"Jandy Pro Series UWF Conn Assembly,1991 ",WATER FEATURES,parts,1,1,Active,738919001848,0.2,2.5,4.2,2,TRUE,FALSE
Zodiac,7-235-00,Jandy Pro Series Spa Fountain ,WATER FEATURES,parts,KIT,1,Active,738919013223,0.3,1.8,7.8,5,TRUE,FALSE
Zodiac,5000J,Jandy Pro Series Sheer Descent Repair Kit ,WATER FEATURES,parts,KIT,1,Active,738919070677,1,0,0,0,TRUE,FALSE
Zodiac,11-204-00,Jandy Pro Series Riser ,WATER FEATURES,parts,KIT,1,Active,738919001893,0.9,2.1,15,13,TRUE,FALSE
Zodiac,11-205-00,"Jandy Pro Series Quick Disconnect,UWF ",WATER FEATURES,parts,1,1,Active,738919001909,0.01,1.6,3.9,3,TRUE,FALSE
Zodiac,7-200-00,Jandy Pro Series Pod ,WATER FEATURES,parts,1,1,Active,738919001770,0.5,4.7,9.8,5,TRUE,FALSE
Zodiac,OA89012A,"Jandy Pro Series Nozzle, Comet, 3-6T Plated With Plug ",WATER FEATURES,parts,1,1,Active,52337058377,0.01,1,4.2,2,TRUE,FALSE
Zodiac,OA89012,"Jandy Pro Series Nozzle, Comet, 3-6T ",WATER FEATURES,parts,1,1,Active,738919008816,0.2,6,6,1,TRUE,FALSE
Zodiac,OA89009,"Jandy Pro Series Nozzle, Comet, 3-3T ",WATER FEATURES,parts,1,1,Active,738919008786,0.01,0.7,2.3,1,TRUE,FALSE
Zodiac,R0560400,Jandy Pro Series Nozzle Replnt Set Of 4 ,WATER FEATURES,parts,1,1,Active,52337025430,0.23,2.3,3.3,6,TRUE,FALSE
Zodiac,FCMJ1050,"Jandy Pro Series Nozzel, Comet, 3-6 Adjustable ",WATER FEATURES,parts,KIT,1,Active,738919047136,0.4,5.6,5.2,5,TRUE,FALSE
Zodiac,R0489500,"Jandy Pro Series Mtg Bracket and Hardware, Laminar Jet, Replacement Kit. ",WATER FEATURES,parts,1,1,Active,52337039017,1.3,5.5,10.4,10,TRUE,FALSE
Zodiac,MJ6370,"Jandy Pro Series MiniJet cover plate, screws, brass ",WATER FEATURES,parts,KIT,1,Active,738919013728,0.01,0.1,2.9,3,TRUE,FALSE
Zodiac,MJ6190,"Jandy Pro Series MiniJet cover plate, Beige, Brown marble ",WATER FEATURES,parts,KIT,1,Active,738919048935,0.01,0.1,3,3,TRUE,FALSE
Zodiac,MJ10,"Jandy Pro Series MiniJet Conversion with White Cover Plate, Screws, ",WATER FEATURES,parts,KIT,1,Active,738919015104,0.01,0.5,2.6,4,TRUE,FALSE
Zodiac,JLPWTR,"Jandy Pro Series Lid And Collar, Pewter Laminar Jet ",WATER FEATURES,parts,1,1,Active,52337036238,5,7,15,16,TRUE,FALSE
Zodiac,JLPBBL,"Jandy Pro Series Lid And Collar, Pebble Laminar Jet ",WATER FEATURES,parts,1,1,Active,52337036221,4.5,7,15,15,TRUE,FALSE
Zodiac,R0488800,Jandy Pro Series Led Light 16GA. Engine Assy Laminar Jet Replacement Kit. ,WATER FEATURES,parts,1,1,Active,52337038966,10.6,8,12,12,TRUE,FALSE
Zodiac,R0500300,"Jandy Pro Series Laminar Jet, With Fiber Optic Retro Fit ",WATER FEATURES,parts,1,1,Active,52337039390,0,23,15.5,16,TRUE,FALSE
Zodiac,R0499900,"Jandy Pro Series Laminar Jet With Led Retrofit, Replacement Kit. ",WATER FEATURES,parts,1,1,Active,52337039093,19.14,16.8,14,14,TRUE,FALSE
Zodiac,R0489200,"Jandy Pro Series Jet Assembly, Laminar Jet , No Light Module ",WATER FEATURES,parts,1,1,Active,52337038997,6.8,15,10,14,TRUE,FALSE
Zodiac,3456,Jandy Pro Series Jandy Filter Without Gauge ,WATER FEATURES,parts,1,1,Active,52337001632,2.8,5,11,7.5,TRUE,FALSE
Zodiac,7-310-00,"Jandy Pro Series Hose Kit, 10' ",WATER FEATURES,parts,KIT,1,Active,738919001855,2,5.8,16.3,14,TRUE,FALSE
Zodiac,11-201-00,Jandy Pro Series Glory Head ,WATER FEATURES,parts,1,1,Active,738919001879,0.3,0.4,8,6,TRUE,FALSE
Zodiac,7-230-00,"Jandy Pro Series Fountain Head,3-Tier ",WATER FEATURES,parts,1,1,Active,738919001794,0.1,3.2,5.1,4,TRUE,FALSE
Zodiac,7-240-00,"Jandy Pro Series Fountain Head, Glory ",WATER FEATURES,parts,1,1,Active,738919001800,0.1,1.7,8.5,6,TRUE,FALSE
Zodiac,11-200-00,Jandy Pro Series Flower Head ,WATER FEATURES,parts,1,1,Active,738919001862,0.01,1.1,1.4,1,TRUE,FALSE
Zodiac,R0488900,"Jandy Pro Series Fiber Optic Assembly, Laminar Jet Replacement Kit ",WATER FEATURES,parts,1,1,Active,52337038973,1.5,8,12,12,TRUE,FALSE
Zodiac,7-260-00,Jandy Pro Series Elbow ,WATER FEATURES,parts,1,1,Active,738919001824,0.01,1.5,3,5,TRUE,FALSE
Zodiac,R0561200,"Jandy Pro Series Coverplate, Deck Jet Set Of 4 ",WATER FEATURES,parts,1,1,Active,52337025461,0.5,2,6,3,TRUE,FALSE
Zodiac,R0489300,"Jandy Pro Series Cover And Screens (5) Laminar Jet, Replacement Kit. ",WATER FEATURES,parts,1,1,Active,52337039000,1.4,5.5,10,10,TRUE,FALSE
Zodiac,7-225-00,Jandy Pro Series Center Assembly Without Alternator ,WATER FEATURES,parts,KIT,1,Active,738919001787,0.1,4.5,7.2,6,TRUE,FALSE
Zodiac,R0489100,"Jandy Pro Series Canister, Laminar Jet Replacement Kit. ",WATER FEATURES,parts,1,1,Active,52337038980,12.7,16.3,23,16,TRUE,FALSE
Zodiac,7-270-00,Jandy Pro Series Anchor Assembly ,WATER FEATURES,parts,1,1,Active,738919001831,0.1,3.7,5.7,7,TRUE,FALSE
Zodiac,R0490000,"Jandy Pro Series All Hardware, Scratcher, Finger Screen ",WATER FEATURES,parts,1,1,Active,52337039109,0.5,2.5,6.8,5,TRUE,FALSE
Zodiac,FCMJ6400,Jandy Pro Series Adjustment Tool ,WATER FEATURES,parts,1,1,Active,738919049109,0.01,0.6,4.6,3,TRUE,FALSE
Zodiac,11-203-00,"Jandy Pro Series Adjustable Plug, UWF ",WATER FEATURES,parts,1,1,Active,738919000674,0.01,1.6,1.3,2,TRUE,FALSE
Zodiac,SVLV8,"Jandy Pro Series Slide Valve, 2"" Del 60 ",VALVES,wholegood,1,1,Active,52337027045,6.8,10.3,23.3,10,TRUE,FALSE
Zodiac,BWVL-MPV,Jandy Pro Series Side Mount Multiport Valve With pre-plumbed universal u ,VALVES,wholegood,1,1,Active,52337029384,11.4,11.3,21,10,TRUE,FALSE
Zodiac,4717,"Jandy Pro Series Neverlube 2""-2 1/2"", Positive Seal 3 Port Valve ",VALVES,wholegood,1,1,Active,52337002066,1.7,5.7,8.4,6,TRUE,FALSE
Zodiac,4944,"Jandy Pro Series Neverlube 2"" -2 1/2"", Positive Seal 3 Port Valve ",VALVES,wholegood,1,1,Active,52337002134,1.4,3.6,7.1,6.2,TRUE,FALSE
