part_number,title,oem,catalog_reference_number,list_price,net_price,case_quantity,manufacturer
21184-750-000,Clip-On Pipe Seal; 3/4in,,138,$3.21 ,$1.16 ,100,Custom Molded Products
23007-100-000,Venturi Tee(1/4Nzzl;1.5Sx1.5Spg x3/4Spg),,,$5.13 ,$1.85 ,each,Custom Molded Products
23300-000-000,Gunite Jet Body(1.5in S x 1.5in S),"210-4100, HAI 10-4100",100,$16.93 ,$6.09 ,50,Custom Molded Products
23300-020-000,Gunite Jet Body 1in Threaded Nozzle,,100,$1.73 ,$0.62 ,each,Custom Molded Products
23300-030-000,Plug; Gunite Jet Body,,,$1.40 ,$0.50 ,each,Custom Molded Products
23300-100-000,Gunite Jet Assembly (1.5inSx1.5inSx1.5inFIP),"210-4120, HAI 10-5100",100,$23.10 ,$8.32 ,50,Custom Molded Products
23300-200-000,DirWall Fittng(1.5in MIP; 3.5in Face)White,HAI 10-3500,100,$9.04 ,$3.25 ,100,Custom Molded Products
23300-200-010,Threaded Fitting(1.5inS/2inMIP)White,,,$4.57 ,$1.65 ,20,Custom Molded Products
23300-200-040,Dir Wall Fitt Gasket,,100,$1.10 ,$0.40 ,400,Custom Molded Products
23300-201-000,DirWall Fittng(1.5in MIP; 3.5in Face); Gray,,100,$9.04 ,$3.25 ,100,Custom Molded Products
23300-204-000,DirWall Fittng(1.5in MIP; 3.5in Face); Black,,100,$9.04 ,$3.25 ,100,Custom Molded Products
23300-207-000,DirWall Fittng(1.5in MIP; 3.5in Face);  Dark Gray,,100,$9.04 ,$3.25 ,100,Custom Molded Products
23300-210-000,DirWall Fittng;Nut(1.5 MIP; 3.5 Face); White,"584663, 10-3100",100,$10.68 ,$3.84 ,100,Custom Molded Products
23300-220-000,DirWall Fitting Eye and Ring; White,,,$4.82 ,$1.74 ,100,Custom Molded Products
23300-240-000,Dir WallFit; Ext(1.5 MIP)w/Eye;No Nut; White,HAI 10-3600,100,$13.12 ,$4.72 ,each,Custom Molded Products
23300-241-000,Dir WallFit; Ext(1.5 MIP)w/Eye;No Nut; Gray,,100,$12.75 ,$4.59 ,each,Custom Molded Products
23300-244-000,Dir WallFit; Ext(1.5 MIP)w/Eye;No Nut; Black,,100,$12.75 ,$4.59 ,each,Custom Molded Products
23300-250-000,"Dir Wall Fitt, Ext(1.5in MIP; 3.5in Face); White",HAI 10-3300,100,$14.37 ,$5.17 ,10,Custom Molded Products
23300-251-000,"Dir Wal Fit, Ext(1.5in MIP;3.5in Face); Gray",,100,$14.37 ,$5.17 ,10,Custom Molded Products
23300-254-000,"Dir Wal Fit, Ext(1.5in MIP;3.5in Face); Black",,100,$14.37 ,$5.17 ,10,Custom Molded Products
23300-270-000,Dir WallFitting; Ext (1.5 MIP) No Eye; White,,,$13.18 ,$4.74 ,100,Custom Molded Products
23300-274-000,Dir WallFitting; Ext (1.5 MIP) No Eye; Black,,,$13.18 ,$4.74 ,100,Custom Molded Products
23300-300-000,Gunite Jet Exnt(1.5in MIPx1.5FIP),HAI 10-4400,100,$16.15 ,$5.81 ,45,Custom Molded Products
23300-450-000,Gunite Jet Assembly; Ext (1.5X1.5X1.5 FIP); White,Oct-00,100,$26.73 ,$9.62 ,each,Custom Molded Products
23301-000-000,Gunite Jet Body(1.5inSx1.5inSx1/2inS;w/Ext),"210-4110, 10-4100S",100,$14.64 ,$5.27 ,50,Custom Molded Products
23301-000-030,Gunite Jet Body 4in Threaded Nozzle,1-Oct,"99, 100",$4.08 ,$1.47 ,100,Custom Molded Products
23302-000-000,Gunite Jet Body(2in S x 1.5in S x 2in Out),,100,$16.93 ,$6.09 ,45,Custom Molded Products
23302-000-040,Orifice Reducer 3/8in (from 7/16in),,"97, 99",$0.96 ,$0.35 ,400,Custom Molded Products
23302-100-040,1/4in Orifice Reducer,,"97, 99",$1.06 ,$0.38 ,400,Custom Molded Products
23304-000-000,Dbl Tee Gunite Jet (1.5Sx1.5Sx1.5S),WW 212-3370,99,$13.19 ,$4.75 ,60,Custom Molded Products
23304-000-040,12in Threaded Ext Dbl Tee Jet Nozzle,,99,$7.92 ,$2.85 ,240,Custom Molded Products
23304-100-000,Dbl Tee Gunite Jet (1.5SX1.5Sx1.5SPG),WW 212-3300,99,$13.19 ,$4.75 ,60,Custom Molded Products
23305-000-000,Gunite Pool Over/Under Jet,,100,$19.37 ,$6.97 ,50,Custom Molded Products
23305-000-080,Gunite Pool Over/Under Jet  Nozzle,,,$4.00 ,$1.44 ,each,Custom Molded Products
23306-000-000,Venturi Tee(1/4in Nozzle;1.5in Sx1/2in S),,99,$8.07 ,$2.91 ,each,Custom Molded Products
23306-100-000,"Venturi Tee(1/4Nzzl,1.5Sx1.5Sx3/4Spg)",HAI 10-4310,99,$8.07 ,$2.91 ,160,Custom Molded Products
23306-100-020,1/4 in Venturi Tee Twist Lock Nozzle,,99,$1.40 ,$0.50 ,200,Custom Molded Products
23306-120-000,Venturi Tee(1/2 Nzzl; 1.5Sx1.5Sx3/4S),HAI 10-4315,99,$8.07 ,$2.91 ,160,Custom Molded Products
23306-120-020,1/2 in Venturi Tee Twist Lock Nozzle,,99,$1.40 ,$0.50 ,100,Custom Molded Products
23307-000-000,Venturi Tee(7/16 Nzzl.1.5Sx1.5Spgx1Spg),212-3470,99,$8.07 ,$2.91 ,140,Custom Molded Products
23307-100-000,"Venturi Tee(7/16Nzzl,1.5Sx1.5Spgx3/4Spg)",,99,$8.07 ,$2.91 ,140,Custom Molded Products
23307-200-000,"Venturi Tee(7/16Nzzl,1.5Sx1.5Spgx1/2Spg)",,99,$8.07 ,$2.91 ,140,Custom Molded Products
23308-000-000,Gunite Venturi Tee,212-3340,99,$12.30 ,$4.43 ,50,Custom Molded Products
23308-000-100,Ext Venturi Tee ((1.5Sx1.5Spgx1Spg),,,$13.19 ,$4.75 ,50,Custom Molded Products
23308-100-000,Ext Venturi Tee (1.5Sx1.5Spgx3/4Spg),HAI 10-4320,99,$12.30 ,$4.43 ,50,Custom Molded Products
23308-100-020,4in Twist Ext Nozzle  Gunite Venturi Tee,10-4401T,"97, 99",$4.27 ,$1.54 ,50,Custom Molded Products
23308-100-040,12in Thread Ext. Nozzle Gunite Venturi Tee,,99,$7.91 ,$2.85 ,12,Custom Molded Products
23308-100-050,12in Twist Ext Nozzle  Gunite Venturi Tee,,"97, 99",$7.91 ,$2.85 ,12,Custom Molded Products
23308-100-100,Ext Venturi Tee (1.5Sx1.5Spgx3/4Spg),HAI 10-4325,99,$13.19 ,$4.75 ,50,Custom Molded Products
23308-110-110,Venturi Tee Jet Face (fit 23308),HAI 10-3420,99,$3.08 ,$1.11 ,150,Custom Molded Products
23308-200-000,Extn Venutri Tee(1.5Spgx1.5Spgx1Spg),PENT46540000,99,$12.30 ,$4.43 ,50,Custom Molded Products
23308-200-020,Ext Venturi Tee (23308-200) 5/16in Nozzle,,,$3.42 ,$1.23 ,100,Custom Molded Products
23308-200-030,Ext Venturi Tee(23308-200)1/2in  Nozzle,PENT4654100,99,$6.37 ,$2.29 ,250,Custom Molded Products
23308-900-000,Power Seat JP4 (Dual Water Ports),,97,$337.46 ,$121.49 ,each,Custom Molded Products
23308-910-000,Power Seat JP4(Single Water Port),,97,$337.46 ,$121.49 ,each,Custom Molded Products
23308-930-000,Jet Array Inline,,97,$337.46 ,$121.49 ,each,Custom Molded Products
23309-000-000,Venturi Tee(#7),210-3330,99,$3.10 ,$1.12 ,20,Custom Molded Products
23309-000-020,Venturi Tee (#7) Nozzle,,,$1.40 ,$0.50 ,each,Custom Molded Products
23310-000-000,Gunite Pool Tee Jet,,100,$5.46 ,$1.97 ,50,Custom Molded Products
23312-000-000,4in SwmJet(5/8in;1inSx1.5inSpg;1inAir)White,16-5749,94,$32.06 ,$11.54 ,60,Custom Molded Products
23312-001-000,4in SwmJet(5/8in;1inSx1.5inSpg;1inAir)Gray,,94,$32.06 ,$11.54 ,60,Custom Molded Products
23312-002-000,4inSwmJt(5/8;1inSx1.5inSpg;1inAir)Stainless Steel/Graphite Gray,,,$56.67 ,$20.40 ,60,Custom Molded Products
23312-007-000,4inSwmJet(5/8;1inSx1.5inSpg;1inAir)GraphiteGray,,,$32.06 ,$11.54 ,60,Custom Molded Products
23315-030-000,Gunite Spa Jet (Pulsator; 1.5MPT)White,,"93, 97",$20.10 ,$7.24 ,500,Custom Molded Products
23315-030-200,Gunite Spa Jet (Pulsator; 1.5in MPT); White/Stainless Steel,,,$24.76 ,$8.91 ,500,Custom Molded Products
23315-030-900,Gunite Spa Jet (Pulsato; 1.5MPT)Clear,,93,$22.89 ,$8.24 ,500,Custom Molded Products
23315-031-000,Gunite Spa Jet (Pulsator; 1.5MPT)Gray,,93,$20.10 ,$7.24 ,500,Custom Molded Products
23315-031-200,Gunite Spa Jet (Pulsator; 1.5in MPT); Gray/Stainless Steel,,,$24.76 ,$8.91 ,500,Custom Molded Products
23315-034-000,Gunite Spa Jet (Pulsato; 1.5 MPT)Black,,93,$20.10 ,$7.24 ,500,Custom Molded Products
23315-034-200,Gunite Spa Jet (Pulsator; 1.5in MPT); Black/Stainless Steel,,,$24.76 ,$8.91 ,500,Custom Molded Products
23315-037-000,Gunite Spa Jet (Pulsator; 1.5 MPT)Dk Gray,,93,$20.10 ,$7.24 ,500,Custom Molded Products
23315-039-000,Gunite Spa Jet (Pulsator; 1.5MPT)Tan,,93,$20.10 ,$7.24 ,500,Custom Molded Products
23315-059-000,Gunite Spa Jet (Pulsator; 1.5MPT)Blue,,93,$20.10 ,$7.24 ,500,Custom Molded Products
23315-069-000,Gunite Spa Jet (Pulsator; 1.5MPT)Dark Blue,,93,$20.10 ,$7.24 ,500,Custom Molded Products
23315-100-000,Pulsator Eyeball Assembly White,,"51, 93",$18.88 ,$6.80 ,50,Custom Molded Products
